team_long_name,wages
Real Madrid CF,5649000
Chelsea,5272000
Manchester City,4652000
Liverpool,3899000
FC Barcelona,3796000
Manchester United,3764000
Tottenham Hotspur,3543000
Juventus,3507000
Arsenal,2702000
FC Bayern Munich,2470000
Paris Saint-Germain,2382000
Atlético Madrid,2263000
AS Monaco,1957000
Inter,1953000
Everton,1705000
SSC Napoli,1700000
FC Porto,1629000
AS Roma,1495000
Borussia Dortmund,1488000
Valencia CF,1415000
VfL Wolfsburg,1374000
West Ham United,1328000
Southampton,1317000
Bayer 04 Leverkusen,1136000
Olympique Lyonnais,1111000
AC Milan,1037000
Newcastle United,1002000
Olympique de Marseille,903000
Genoa,851000
Aston Villa,848000
Fiorentina,824000
Sevilla FC,818000
SV Werder Bremen,795000
Villarreal CF,739000
PSV Eindhoven,725000
FC Schalke 04,708000
Stoke City,702000
SL Benfica,682000
US Palermo,655000
TSG 1899 Hoffenheim,625000
AFC Ajax,607000
Leicester City,603000
Crystal Palace,551000
Watford,535000
Swansea City,512000
West Bromwich Albion,505000
Málaga CF,489000
Wolverhampton Wanderers,469000
Athletic Club de Bilbao,366000
Sunderland,361000
Hamburger SV,348000
Fulham,308000
Udinese Calcio,307000
AS Saint-Étienne,300000
Lazio,276000
Torino,265000
LOSC Lille,263000
Bournemouth,256000
Real Sociedad,254000
Sampdoria,246000
Hull City,235000
Portsmouth,199000
Burnley,198000
OGC Nice,188000
Norwich City,176000
Sporting CP,170000
Birmingham City,163000
Bari,160000
Middlesbrough,156000
Hannover 96,144000
Wigan Athletic,124000
RCD Espanyol,124000
Bolton Wanderers,116000
Real Betis,116000
Stade Rennais FC,107000
Pescara,102000
Queens Park Rangers,85000
Siena,80000
Sassuolo,79000
Bologna,74000
FC Groningen,70000
Hertha BSC Berlin,65000
RSC Anderlecht,65000
Getafe CF,64000
RC Deportivo de La Coruña,58000
Reading,53000
FC Twente,53000
Girondins de Bordeaux,49000
AZ Alkmaar,48000
Blackburn Rovers,44000
Cagliari Calcio,41000
Parma,39000
Atalanta,35000
UD Almería,35000
Real Zaragoza,33000
Vitesse,32000
Brescia,29000
RC Cesena,29000
1. FC Köln,26000
SC Braga,26000
Toulouse FC,22000
Granada CF,20000
Chievo Verona,17000
FC Lorient,13000
Feyenoord,13000
RCD Mallorca,12000
SC Freiburg,11000
Standard Liège,8000
RC Celta de Vigo,5000
